name,width,height,obj,xmin,ymin,xmax,ymax
11514-72059-246.png,266,150,Obj,164,51,168,54
11514-72059-325.png,266,150,Obj,249,51,253,54
11514-72059-326.png,266,150,Obj,221,51,225,54
11514-72059-327.png,266,150,Obj,193,51,196,54
11514-72059-328.png,266,150,Obj,164,108,168,110
11514-72059-407.png,266,150,Obj,249,108,253,110
11514-72059-408.png,266,150,Obj,221,108,225,110
11514-72059-409.png,266,150,Obj,193,108,196,110
11514-72060-130.png,266,150,Obj,237,80,239,82
11514-72060-131.png,266,150,Obj,209,80,211,82
11514-72060-133.png,266,150,Obj,152,80,154,82
11514-72060-134.png,266,150,Obj,124,80,126,82
11514-72060-48.png,266,150,Obj,237,23,239,25
11514-72061-504.png,266,150,Obj,234,13,238,17
11514-72061-505.png,266,150,Obj,205,13,210,17
11514-72061-506.png,266,150,Obj,177,12,181,17
11514-72061-507.png,266,150,Obj,149,12,153,17
11514-72061-508.png,266,150,Obj,120,12,125,17
11514-72061-509.png,266,150,Obj,92,13,96,17
11514-72061-510.png,266,150,Obj,64,13,68,17
11514-72061-511.png,266,150,Obj,35,13,40,17
11514-72061-512.png,266,150,Obj,7,12,12,17
11514-72061-585.png,266,150,Obj,262,68,266,74
11514-72061-586.png,266,150,Obj,234,69,238,73
11514-72061-587.png,266,150,Obj,205,69,210,73
11514-72061-588.png,266,150,Obj,177,69,182,73
11514-72061-589.png,266,150,Obj,149,69,153,73
11514-72061-590.png,266,150,Obj,120,69,125,73
11514-72061-591.png,266,150,Obj,92,69,97,73
11514-72061-592.png,266,150,Obj,64,69,68,73
11514-72061-593.png,266,150,Obj,35,69,40,73
11514-72061-594.png,266,150,Obj,7,69,12,73
11514-72062-164.png,266,150,Obj,217,33,220,35
11514-72062-245.png,266,150,Obj,245,33,248,35
11514-72062-246.png,266,150,Obj,217,90,220,92
11514-72062-327.png,266,150,Obj,245,90,248,92
11514-72065-139.png,266,150,Obj,262,65,266,69
11514-72065-140.png,266,150,Obj,233,66,237,69
11514-72065-141.png,266,150,Obj,205,66,209,69
11514-72065-142.png,266,150,Obj,177,66,180,69
11514-72065-143.png,266,150,Obj,148,66,152,69
11514-72065-144.png,266,150,Obj,120,66,124,69
11514-72065-145.png,266,150,Obj,92,66,95,69
11514-72065-146.png,266,150,Obj,63,66,67,69
11514-72065-147.png,266,150,Obj,35,66,39,69
11514-72065-148.png,266,150,Obj,7,66,10,69
11514-72065-221.png,266,150,Obj,262,122,266,126
11514-72065-222.png,266,150,Obj,233,122,237,125
11514-72065-223.png,266,150,Obj,205,122,209,125
11514-72065-224.png,266,150,Obj,177,123,180,125
11514-72065-225.png,266,150,Obj,148,123,152,125
11514-72065-226.png,266,150,Obj,120,122,124,125
